id,owner,route,str_no,str_name,mp,county,municipality,latitude,longitude
66,"State Routes",1+9,0703169,"US 1&9 SB / MAGAZINE ST.",50.15,ESSEX,"Newark city",40.7235,74.1446
67,"State Routes",1+9,0703170,"ROUTE US 1&9 NB/SAINT CHARLES STREET",50.32,ESSEX,"Newark city",40.7247,74.1423
68,"State Routes",1+9,0703171,"US 1&9 SB OVER ST. CHARLES ST.",50.32,ESSEX,"Newark city",40.7249,74.1425
69,"State Routes",1+9,0703172,"ROUTES US 1&9 NB OVER ROANOKE STREET",50.73,ESSEX,"Newark city",40.7285,74.1357
70,"State Routes",1+9,0703173,"US RTE 1&9 SB / ROANOKE AVENUE",50.73,ESSEX,"Newark city",40.7285,74.1361
71,"State Routes",1+9,0703174,"US ROUTE 1&9 NB OVER CONRAIL (CRRNJ BR)",50.8,ESSEX,"Newark city",40.7289,74.135
72,"State Routes",1+9,0703175,"US 1&9 SB / CONRAIL (BRANCH)",50.8,ESSEX,"Newark city",40.7291,74.1352
73,"State Routes",1+9,0703176,"ROUTE US 1&9 NB OVER FOUNDRY STREET",50.96,ESSEX,"Newark city",40.7303,74.1325
74,"State Routes",1+9,0703177,"US 1&9 SB / FOUNDRY ST.",50.96,ESSEX,"Newark city",40.7305,74.1326
75,"State Routes",1+9,0704150,"US 1&9 (PULASKI SKYWAY) OVER PASSAIC RIVER",51.17,ESSEX,"Newark city",40.7324,74.1294
76,"State Routes",1+9,0901150,"US 1&9 (PULASKI SKYWAY) / HACKENSACK RIVER",51.8499,HUDSON,"Jersey City city",40.7349,74.1175
77,"State Routes",1+9,0902150,"US ROUTE 1 & 9 (TONNELE AVENUE) / NJ TRANSIT",54.72,HUDSON,"Jersey City city",40.7406,74.0642
78,"State Routes",1+9,0902151,"US ROUTE 1&9 (TONNELE AVE)/CONRAIL (SUSQU CONNEC)",54.79,HUDSON,"Jersey City city",40.7408,74.0556
79,"State Routes",1+9,0902152,"RT US 1&9(TONNELLE AVE)OVER AMTRAK",57.17,HUDSON,"North Bergen township",40.7716,74.0429
80,"State Routes",1+9,0902154,"SECAUCUS RD/CONRAIL & SUSQUEHANNA & WESTERN RR",0.55,HUDSON,"North Bergen (CDP)",40.761,74.0526
81,"State Routes",1+9,0902155,"RAMP H OVER DELL AVENUE",56.24,HUDSON,"Secaucus town",40.7607,74.0515
82,"State Routes",1+9,0903150,"US ROUTE 1 & 9 OVER CONRAIL LIGHT RAIL",58.41,HUDSON,"North Bergen township",40.7873,74.0314
83,"State Routes",1+9,0903151,"PATERSON PLANK RD (CR 681) OVER ROUTE US 1 & 9",3.68,HUDSON,"North Bergen township",40.7792,74.0389
84,"State Routes",1+9,0903152,"PATERSON PLANK RD-CR 681 / WEST SIDE,36TH & CONRA",3.95,HUDSON,"North Bergen township",40.7802,74.0406
85,"State Routes",1+9,1205150,"US 1&9 OVER NJ 35",36.42,MIDDLESEX,"Woodbridge Township (CDP)",40.5713,74.2928
86,"State Routes",1+9,1205151,"US RTE 1&9/NJ TRANSIT (NJ COAST LINE) & INMAN AVE",37.8,MIDDLESEX,"Woodbridge Township (CDP)",40.5875,74.2783
87,"State Routes",1+9,2001150,"US 1+9 RAMP C OVER E HAZLEWOOD (CR621)&RAHWAY RIVR",38.63,UNION,"Rahway city",40.599,74.271
88,"State Routes",1+9,2001154,"US 1&9 OVER  WEST BROOK",40.88,UNION,"Linden city",40.6244,74.2454
89,"State Routes",1+9,2001155,"US 1&9 OVER  PEACH ORCHARD BROOK",41.82,UNION,"Linden city",40.6357,74.2353
90,"State Routes",1+9,2001157,"US 1&9 OV RAHWAY RV, CR514, CR621, RESOURCE REC.DR",38.63,UNION,"Rahway city",40.5988,74.2705
91,"State Routes",1+9,2002150,"ELIZABETH RIVER VIADUCT",43.8199,UNION,"Elizabeth city",40.6561,74.2109
92,"State Routes",1+9,2002152,"MAGNOLIA AVENUE OVER US ROUTE 1&9",0,UNION,"Elizabeth city",40.6671,74.2039
93,"State Routes",1+9T,0705150,"RT US 1+9T SB OVER RAYMOND BOULEVARD",0.14,ESSEX,"Newark city",40.7344,74.126
94,"State Routes",1+9T,0705151,"US 1&9T OVER PASSAIC RIVER & LOCAL ROADS",0.56,ESSEX,"Newark city",40.7328,74.1204
95,"State Routes",1+9T,0905150,"CENTRAL AVENUE (CR 659) OVER ROUTE US 1+9T",1.82,HUDSON,"Kearny town",40.7301,74.1094
96,"State Routes",1+9T,0905152,"US 1&9T OVER HACKENSACK RIVER",1.72,HUDSON,"Jersey City city",40.7282,74.1015
97,"State Routes",1+9T,0906155,"US ROUTE 1&9T OVER J.C. WATER MAINS",3.75,HUDSON,"Jersey City city",40.7391,74.0726
98,"State Routes",1+9T,0906156,"US 1+9T/ST PAUL & CONRAIL",3.87,HUDSON,"Jersey City city",40.7392,74.0713
99,"State Routes",1+9T,0906157,"RT. 1+9  RAMP 1B TO 1+9T WB OVER J.C.WATER MAINS",3.95,HUDSON,"Jersey City city",40.7393,74.0672
100,"State Routes",1+9T,0906158,"RAMP FROM NJ 139 TO US 1&9T/TONNELE A",4.10999,HUDSON,"Jersey City city",40.7394,74.0659
101,"State Routes",1+9T,0906160,"US 1+9T OVER CHARLOTTE AVENUE",3.65999,HUDSON,"Jersey City city",41.2422,74.1267
102,"State Routes",1+9T,0906164,"1+9 T Flyover",0,HUDSON,"Jersey City city",-8.83333,0.35
103,"State Routes",1B,1102150,"US 1B OVER FIVE MILE RUN",1.51,MERCER,"Lawrence township",40.2567,74.7283
104,"State Routes",1B,1141150,"US 1B NB/FIVE MILE RUN",2.58,MERCER,"Lawrence township",40.2677,74.7139
105,"State Routes",3,0203151,"CR 30 (PARK AVENUE) OVER ROUTE NJ 3",0.7,BERGEN,"Rutherford borough",40.821,74.1204
106,"State Routes",3,0203152,"RIDGE ROAD OVER ROUTE 3",0.0200001,BERGEN,"Rutherford borough",40.7665,74.1124
107,"State Routes",3,0203153,"ORIENT WAY OVER NJ ROUTE 3",0.0400001,BERGEN,"Rutherford borough",40.8144,74.1089
108,"State Routes",3,0204150,"ROUTE 3/SERVICE RD,BERRY_S CREEK,RR",6.92,BERGEN,"East Rutherford borough",40.8105,74.0936
109,"State Routes",3,0204151,"NJ 3WB / HACKENSACK RIVER & MEADOWLAND PKWY",8.5,BERGEN,"East Rutherford borough",40.8713,74.1384
110,"State Routes",3,0204152,"NJ RT 3 EB/HACKENSACK RVR & MEADOWLND PKWY",8.49,BERGEN,"East Rutherford borough",40.7983,74.0713
111,"State Routes",3,0907152,"PATERSON PLANK ROAD (CR 681) OVER NJ 3",5.31,HUDSON,"Secaucus town",40.794,74.0582
112,"State Routes",3,0908150,"PATERSON PLANK RD (CR 681)/ RT3",4.33,HUDSON,"Secaucus town",40.7838,74.048
113,"State Routes",3,0908152,"NJ RT 3EB & S.SVC.RD/RT495 RAMP J",10.33,HUDSON,"North Bergen township",40.777,74.0472
114,"State Routes",3,0908153,"NJ 3/NORTHERN SEC. & RAMP A",10.74,HUDSON,"North Bergen township",40.775,74.0429
115,"State Routes",3,1601150,"GROVE ST (CR 623) / NJ RT 3",0.88,PASSAIC,"Clifton city",40.8653,74.1989
116,"State Routes",3,1601151,"NJ RT 3 / BROAD ST (CR 509)",1.26,PASSAIC,"Clifton city",40.8551,74.1781
117,"State Routes",3,1601152,"HEPBURN ROAD OVER NJ 3",0,PASSAIC,"Clifton city",40.849,74.1726
118,"State Routes",3,1601153,"NJ ROUTE 3 OVER BLOOMFIELD AVE (CR 622)",2.64,PASSAIC,"Clifton city",40.8403,74.1646
119,"State Routes",3,1601154,"NJ RT. 3 / NORFOLK SOUTHERN RR (NEWARK BRANCH)",2.84,PASSAIC,"Clifton city",40.8389,74.1582
120,"State Routes",3,1601155,"NJ RT 3 / PASSAIC AVE. (CR 603)",3.42,PASSAIC,"Clifton city",40.8345,74.1484
121,"State Routes",3,1601156,"NJ 3 / MAIN AVE (CR 601)",3.82,PASSAIC,"Clifton city",40.8315,74.1417
122,"State Routes",3,1601157,"NJ RT 3 / THIRD RIVER",3.91,PASSAIC,"Clifton city",40.831,74.1405
123,"State Routes",3,1601160,"NJ RT 3 / UPPER POND SPILLWAY",4.39,PASSAIC,"Clifton city",40.0271,74.1329
124,"State Routes",3,1601161,"NJ RT 3 OVER RIVER RD (CR 624)",4.42,PASSAIC,"Clifton city",40.827,74.1321
125,"State Routes",3,1601162,"NJ 3/NJ TRANSIT & SERVICE RD",4.64,PASSAIC,"Clifton city",40.8252,74.129
126,"State Routes",3,1601163,"RT 3 OV RT 21 RMP TO Rt. 3 EB/RT 3 RMP TO RT 21 NB",4.7,PASSAIC,"Clifton city",40.8303,74.1282
127,"State Routes",3,1601164,"RT3 OVER PASSAIC RIV & RT21",4.89,PASSAIC,"Clifton city",40.8225,74.1227
128,"State Routes",3,1603151,"KINGSLAND AVE / RAMP( RT NJ 3EB to RT NJ 21 SB)",0,PASSAIC,"Clifton city",40.8236,74.1288
129,"State Routes",4,0205150,"NJ 4 / PASSAIC RIVER, NJ 20, & RIVER RD (CR 507)",0.13,BERGEN,"Elmwood Park borough",40.9254,74.1302
130,"State Routes",4,0205152,"NJ 4 OVER NJ 208 SB & RAMPS",2,BERGEN,"Fair Lawn borough",40.9267,74.0956
131,"State Routes",4,0206151,"NJ 4 / SADDLE RIVER",2.28,BERGEN,"Fair Lawn borough",40.9259,74.0914
132,"State Routes",4,0206152,"PARAMUS ROAD (C.R. 62) OVER NJ 4",3.69,BERGEN,"Paramus borough",40.9256,74.0895
133,"State Routes",4,0206153,"NJ RT 4 / SPROUT BROOK",3.14,BERGEN,"Paramus borough",40.9214,74.076
134,"State Routes",4,0206154,"FARVIEW AVENUE (CR 61) OVER NJ 4",4.97,BERGEN,"Paramus borough",40.9197,74.0688
135,"State Routes",4,0206155,"SPRING VALLEY RD OVER RT NJ 4",0.91,BERGEN,"Paramus borough",40.9178,74.0614
136,"State Routes",4,0206159,"FOREST AVE (CR 59) OVER ROUTE NJ 4",2,BERGEN,"Paramus borough",40.9159,74.0548
137,"State Routes",4,0206163,"NJ 4/KINDERKAMACK RD (CO. 51), NJT, COLES BROOK",5.39,BERGEN,"Hackensack city",40.909,74.0366
138,"State Routes",4,0206165,"HACKENSACK AVE (RT 503) OVER ROUTE NJ 4",7.04,BERGEN,"Hackensack city",40.9056,74.0332
139,"State Routes",4,0206166,"NJ 4 / HACKENSACK RIVER & COVE ROAD",5.94,BERGEN,"Hackensack city",40.903,74.0306
140,"State Routes",4,0206167,"NJ 4 / RIVER ROAD (Co. Rt. 41)",6.23,BERGEN,"Teaneck township",40.8995,74.0269
141,"State Routes",4,0206168,"GARRISON AVE OVER ROUTE NJ 4",0,BERGEN,"Teaneck township",40.8954,74.0182
142,"State Routes",4,0206169,"NJ 4 / PALISADE AVE., WINDSOR RD. & CSX RR",7,BERGEN,"Teaneck township",40.8943,74.015
143,"State Routes",4,0206171,"ROUTE NJ 4 OVER QUEEN ANNE RD",7.14,BERGEN,"Teaneck township",40.8931,74.0117
144,"State Routes",4,0206172,"MARGARET ST OVER NJ 4",0,BERGEN,"Teaneck township",40.892,74.0081
145,"State Routes",4,0206173,"ROUTE NJ 4 OVER TEANECK RD (CR 39)",7.59,BERGEN,"Teaneck township",40.8904,74.0036
146,"State Routes",4,0206174,"RT NJ 4 OVER WEBSTER AVE",8.07998,BERGEN,"Teaneck township",40.8878,73.995
147,"State Routes",4,0206175,"RT NJ 4 OVER PROPOSED LAFAYETTE AVE. EXT.",8.25,BERGEN,"Teaneck township",40.8862,73.9925
148,"State Routes",4,0206176,"NJ 4 OVER OVERPECK CREEK",8.52,BERGEN,"Englewood city",40.8835,73.9889
149,"State Routes",4,0206177,"NJ 4 / S. DEAN ST,NORDHOFF PL,CSX RR",8.82,BERGEN,"Englewood city",40.8808,73.9845
150,"State Routes",4,0206179,"NJ 4 OVER GRAND AVE (NJ 93, CR 501)",9.04,BERGEN,"Englewood city",40.8789,73.9811
151,"State Routes",4,0206180,"NJ ROUTE 4 / BROAD AVE.",9.29,BERGEN,"Englewood city",40.8767,73.9773
152,"State Routes",4,0206181,"NJ ROUTE 4/FLAT ROCK BROOK",9.54,BERGEN,"Englewood city",40.8744,73.9737
153,"State Routes",4,0206182,"JONES ROAD/NJ ROUTE 4",0.25,BERGEN,"Englewood city",40.8732,73.973
154,"State Routes",4,0206184,"NJ 4 EB & RMP R/I-95 EXP, SB LOCAL & RAMP J",10.22,BERGEN,"Fort Lee borough",40.8656,73.9744
155,"State Routes",4,0206185,"NJ RT. 4 EB / I-95 NB LOCAL",10.28,BERGEN,"Fort Lee borough",40.8646,73.9747
156,"State Routes",4,0206186,"NJ 4 WB & RAMP E / I-95 SB LOCAL & RAMPS F & G",10.59,BERGEN,"Fort Lee borough",40.8599,73.9746
157,"State Routes",4,0206187,"NJ 4 EB / I-95 RAMP L",10.68,BERGEN,"Fort Lee borough",40.8584,73.9759
158,"State Routes",4,0206188,"JOHNSON AVE / COLES BROOK",0.15,BERGEN,"River Edge borough",40.9092,74.0384
159,"State Routes",4,0206189,"KINDERKAMACK ROAD (CO. RT. 51) / COLES BROOK",1.3,BERGEN,"Hackensack city",40.9092,74.0359
160,"State Routes",4,0206190,"NJ 4 Ramp to NJ 4 WB over NJ 4, NJ 17 & RAMP",3.34,BERGEN,"Paramus borough",40.9196,74.0721
161,"State Routes",4,0206192,"IKEA DRIVE / NJ RT 4&RAMPS C-D",0,BERGEN,"Paramus borough",40.9218,74.0779
162,"State Routes",4,0206193,"RAMP SE/NJ RT.4,RT.17 & VARIOUS RAMPS",3.34,BERGEN,"Paramus borough",40.9195,74.0721
163,"State Routes",4,1602151,"NJ 4 RAMP B OVER NJ 20 SB",0.0800003,PASSAIC,"Paterson city",40.9173,74.1325
164,"State Routes",5,0207150,"NJ RT 5 OVER DELIA BOULEVARD",0.48,BERGEN,"Palisades Park borough",40.84,73.995
165,"State Routes",7,0208150,"NJ ROUTE 7 OVER PASSAIC RIVER",5.28,BERGEN,"North Arlington borough",40.7863,74.1469
166,"State Routes",7,0909150,"WITPENN-NJ RTE 7 OVER HACKENSACK R",0.12,HUDSON,"Jersey City city",40.7389,74.0771
167,"State Routes",7,0909151,"RT 7 (BLVLE TPK) NJ TRANSIT",1.16,HUDSON,"Kearny town",40.7469,74.0962
168,"State Routes",7,0909152,"NJ 7 RAMPS A AND D / NJ 7 NB & RAMP A SB",0.67,HUDSON,"Kearny town",40.7428,74.0861
169,"State Routes",7,0910150,"NEWARK TURNPIKE (CR 508) / NJ 7 SB & RAMP H NB",15.8,HUDSON,"Kearny town",40.7465,74.0999
170,"State Routes",7,0910153,"NJ 7/CONRAIL(NEWARK BRANCH abandonded)",2.51,HUDSON,"Kearny town",40.7565,74.1113
171,"State Routes",7,0910154,"NJ 7/BOONTON LINE (NJT)",3,HUDSON,"Kearny town",40.7617,74.1173
172,"State Routes",9,0101150,"US 9 OVER ABSECON CREEK",42.44,ATLANTIC,"Absecon City",39.4217,74.5083
173,"State Routes",9,0102151,"US 9 OVER NACOTE CREEK & LINDBERGH AVENUE",51.4,ATLANTIC,"Port Republic city",39.5329,74.464
174,"State Routes",9,0302150,"US RT 9 (NEW YORK RD) OVER BASS RIVER",57.06,BURLINGTON,"Bass River township",39.5933,74.4429
175,"State Routes",9,0302151,"U.S.ROUTE 9 OVER JOBS CREEK",58.05,BURLINGTON,"Bass River township",39.5917,74.425
176,"State Routes",9,1206151,"US9 OVER DEEP RUN BROOK",123.22,MIDDLESEX,"Old Bridge township",40.385,74.3083
177,"State Routes",9,1206153,"US9 OVER OLD BRIDGE ROAD (CO516)",124.38,MIDDLESEX,"Old Bridge township",40.4017,74.3067
178,"State Routes",9,1206157,"TICETOWN RD OVER US 9 & RAMP",123.71,MIDDLESEX,"Old Bridge township",40.3966,74.3078
179,"State Routes",9,1207150,"US 9 OVER BORDENTOWN AVE (CO.615)",128.99,MIDDLESEX,"Sayreville borough",40.4667,74.2969
180,"State Routes",9,1207151,"MAIN STREET/CONRAIL(ABANDONED)",0,MIDDLESEX,"South Amboy city",40.478,74.2902
181,"State Routes",9,1207152,"ROUTE US 9 OVER ERNSTON ROAD",128.07,MIDDLESEX,"Sayreville borough",40.4543,74.2969
182,"State Routes",9,1207153,"MAIN ACCESS ROAD OVER U.S. RT.9.",0,MIDDLESEX,"Old Bridge township",40.4467,74.3
183,"State Routes",9,1208150,"US 9 NB & NJ 35 over US 9 NB and Main Street",129.82,MIDDLESEX,"South Amboy city",40.4778,74.2905
184,"State Routes",9,1208151,"US9&35/WASHINGTON AVE( CO670)",130.05,MIDDLESEX,"South Amboy city",40.4783,74.2917
185,"State Routes",9,1208152,"RT US 9 & NJ 35 over CONRAIL(ABANDON)",130.11,MIDDLESEX,"South Amboy city",40.4793,74.2924
186,"State Routes",9,1208153,"US 9 &RT.35 OVER CONRAIL.",130.23,MIDDLESEX,"South Amboy city",40.48,74.295
187,"State Routes",9,1208154,US9&RT35/CONRAIL(ABANDONED),130.35,MIDDLESEX,"South Amboy city",40.4819,74.2969
188,"State Routes",9,1208155,"US 9 & NJ 35 /  RARITAN STREET",130.46,MIDDLESEX,"South Amboy city",40.4817,74.2967
189,"State Routes",9,1208157,"ANDREJEWSKI DRIVE OVER US 9",0,MIDDLESEX,"Sayreville borough",40.49,74.2967
190,"State Routes",9,1209155,"U.S. RT 9 NB / RARITAN RIVER, C.R. 656 AND RAMP R",132.29,MIDDLESEX,"Woodbridge township",40.5038,74.3005
191,"State Routes",9,1209156,"U.S. RT 9 SB / RARITAN RIVER, C.R. 656, AND RAMP R",132.29,MIDDLESEX,"Woodbridge township",40.5158,74.3002
192,"State Routes",9,1209157,"US 9 OVER NJ 35 SB & CHEVALIER AVENUE",131.39,MIDDLESEX,"Sayreville borough",40.4963,74.2979
193,"State Routes",9,1210150,"US 9 OVER MAIN ST",135.21,MIDDLESEX,"Woodbridge township",40.55,74.2917
194,"State Routes",9,1210151,"US ROUTE 9 OVER METUCHEN AVE",135.34,MIDDLESEX,"Woodbridge Township (CDP)",40.5518,74.2909
195,"State Routes",9,1210152,"US 9 NB over CR 604 EB (GREEN Street)",135.83,MIDDLESEX,"Woodbridge Township (CDP)",40.5585,74.2947
196,"State Routes",9,1210154,"US 9 SB  over CR 604 WB (GREEN Street)",136.08,MIDDLESEX,"Woodbridge Township (CDP)",40.5614,74.2966
197,"State Routes",9,1301150,"RT 9 / MANASQUAN RVR",110.03,MONMOUTH,"Howell township",40.2043,74.256
198,"State Routes",9,1301151,"US 9 OVER DEBOIS CREEK",111.05,MONMOUTH,"Freehold township",40.2183,74.2633
